OBJECTID,ROUTE_ID,ROUTE_NAME,GIS_STATUS,GlobalID,created_user,created_date,SHAPESTLength
19397,216,Harwood North,Current,{37C4376F-E7C7-4DCA-A56A-137E604FF54F}, ,,10041.9187845599
19398,224,Harwood-Salem,Current,{27A484CC-4312-4A66-A630-BE5F2EA0D271}, ,,17903.2034928585
19399,302,Baldwin-Brock,Current,{DE88F07B-11FE-45D4-9AB5-795879FF21E3}, ,,10540.3593450866
19400,403,Park,Current,{3CD3E35C-CBFC-41F4-89F0-4F5DC64BF718}, ,,13206.203188732
19401,407,Ritson,Current,{FD318F84-9CB2-4D52-ADA6-07365E64391B}, ,,22965.2733720784
19402,410,Olive-Harmony,Current,{41098741-2047-4F75-890E-7440568ABA5D}, ,,12516.6726855615
19403,980,Late Night,Current,{4DAE38A1-E406-47EB-A3E8-D8F5E24E176C}, ,,44915.7380798583
19404,915,Taunton,Current,{C3845551-97C9-4BA5-B171-0685658DEDBD}, ,,23198.4292701056
19405,916,Rossland,Current,{2F26FC54-7E79-45EA-AF24-A1B7B0001D71}, ,,29295.0787881966
19407,405,Wilson,Current,{BB5AF1B3-DC5D-483F-9E48-650AC6CEFA8D}, ,,16905.822356897
19408,900,PULSE - Highway 2,Current,{8C7E5D3C-57AB-4486-8E8A-2841CCADA454}, ,,33596.6030072647
19410,901B,PULSE - Simcoe,Current,{56D14824-62EB-42EE-8937-1CFBE24A2BA8}, ,,13296.6330379865
19411,291,Harwood-Kingston,Current,{E2295F00-D8F1-4EFF-BC6C-3DEFAC1539A6}, ,,21425.9302592898
19412,120,Whites,Current,{41963790-52DD-400C-8060-9D16C2D98437}, ,,9806.49795191486
19413,101,Bay Ridges,Current,{0EAC225D-F9FB-4857-903C-C20EDF9CB367}, ,,11839.0060999054
19414,917,Bayly-Consumers,Current,{A2098DC3-2409-41C2-BC15-8DDCB8B8AD9F}, ,,35108.6617801698
19817,110,Finch West,Current,{197A9FCC-EDD7-4A53-B1E4-172D6B81E0E5},,,7279.53640832544
19824,905,Thickson-Reach,Current,{C9B924C2-9C94-4B20-B662-936DD41562AC},,,24209.845896232
19833,302,Baldwin-Brock,Current,{DBDAEE94-C4C2-4A52-93DE-9766661448A4}, ,,14420.031334088
20233,291,Harwood-Kingston,Current,{EB732DA5-0A78-406A-BED0-F4440590CF4A}, ,,2464.85048013795
20236,902S,King,Current,{CFCC3384-47A6-4BE4-98D7-F7A16B640ABE}, ,,9234.08289935692
21037,901,PULSE - Simcoe,Current,{08268B27-0112-496E-8148-60E44DBCF860}, ,,19613.8999226395
