route_id,n_stops_served,unique_coverage,n_unique_stops,accessible_share,sheltered_share,coverage_tier
507,29,0.966,28,0.8095238095238095,0.23809523809523808,LIFELINE (preserve coverage)
101,46,0.87,40,0.5869565217391305,0.21739130434782608,LIFELINE (preserve coverage)
605,26,0.846,22,1.0,0.32,LIFELINE (preserve coverage)
502,63,0.794,50,0.896551724137931,0.2413793103448276,LIFELINE (preserve coverage)
505,24,0.792,19,0.75,0.3125,LIFELINE (preserve coverage)
319,50,0.72,36,0.9772727272727273,0.2727272727272727,LIFELINE (preserve coverage)
112,53,0.717,38,0.9411764705882353,0.4411764705882353,LIFELINE (preserve coverage)
211,61,0.689,42,0.9672131147540983,0.32786885245901637,LIFELINE (preserve coverage)
121,73,0.671,49,0.8493150684931506,0.2465753424657534,LIFELINE (preserve coverage)
302,104,0.654,68,0.7142857142857143,0.23469387755102042,LIFELINE (preserve coverage)
403,65,0.646,42,0.7333333333333333,0.21666666666666667,"PARTIAL-UNIQUE (right-size, don't delete)"
921,64,0.641,41,0.926829268292683,0.7560975609756098,"PARTIAL-UNIQUE (right-size, don't delete)"
618,99,0.636,63,0.8360655737704918,0.3442622950819672,"PARTIAL-UNIQUE (right-size, don't delete)"
905,154,0.63,97,0.831081081081081,0.32432432432432434,"PARTIAL-UNIQUE (right-size, don't delete)"
227,92,0.62,57,0.7349397590361446,0.27710843373493976,"PARTIAL-UNIQUE (right-size, don't delete)"
306,39,0.615,24,0.8620689655172413,0.3103448275862069,"PARTIAL-UNIQUE (right-size, don't delete)"
315,10,0.6,6,1.0,0.25,"PARTIAL-UNIQUE (right-size, don't delete)"
392,15,0.6,9,1.0,0.18181818181818182,"PARTIAL-UNIQUE (right-size, don't delete)"
421,89,0.596,53,0.9418604651162791,0.12790697674418605,"PARTIAL-UNIQUE (right-size, don't delete)"
301,54,0.593,32,0.9782608695652174,0.17391304347826086,"PARTIAL-UNIQUE (right-size, don't delete)"
419,34,0.588,20,0.45454545454545453,0.030303030303030304,"PARTIAL-UNIQUE (right-size, don't delete)"
920,134,0.515,69,0.9333333333333333,0.6571428571428571,"PARTIAL-UNIQUE (right-size, don't delete)"
423,82,0.512,42,0.9594594594594594,0.14864864864864866,"PARTIAL-UNIQUE (right-size, don't delete)"
917,100,0.51,51,0.9072164948453608,0.36082474226804123,"PARTIAL-UNIQUE (right-size, don't delete)"
118,32,0.5,16,0.7777777777777778,0.7037037037037037,"PARTIAL-UNIQUE (right-size, don't delete)"
216,72,0.472,34,0.9436619718309859,0.43661971830985913,"PARTIAL-UNIQUE (right-size, don't delete)"
915,110,0.445,49,0.8543689320388349,0.5339805825242718,"PARTIAL-UNIQUE (right-size, don't delete)"
410,83,0.422,35,0.9634146341463414,0.17073170731707318,"PARTIAL-UNIQUE (right-size, don't delete)"
407,95,0.421,40,0.8736842105263158,0.2,"PARTIAL-UNIQUE (right-size, don't delete)"
916,132,0.417,55,0.8914728682170543,0.3875968992248062,"PARTIAL-UNIQUE (right-size, don't delete)"
409,77,0.416,32,0.8873239436619719,0.29577464788732394,"PARTIAL-UNIQUE (right-size, don't delete)"
N1,158,0.411,65,0.9483870967741935,0.5870967741935483,"PARTIAL-UNIQUE (right-size, don't delete)"
902,91,0.407,37,0.9010989010989011,0.2967032967032967,"PARTIAL-UNIQUE (right-size, don't delete)"
900,121,0.397,48,0.9421487603305785,0.7107438016528925,REDUNDANT (safe to restructure)
224,79,0.392,31,0.8831168831168831,0.37662337662337664,REDUNDANT (safe to restructure)
405,77,0.351,27,0.9178082191780822,0.1917808219178082,REDUNDANT (safe to restructure)
N2,64,0.312,20,0.9206349206349206,0.31746031746031744,REDUNDANT (safe to restructure)
901,83,0.289,24,0.9024390243902439,0.32926829268292684,REDUNDANT (safe to restructure)
